Head_Status,Head_X,Head_Y,Head_Z,ShoulderCenter_Status,ShoulderCenter_X,ShoulderCenter_Y,ShoulderCenter_Z,ShoulderLeft_Status,ShoulderLeft_X,ShoulderLeft_Y,ShoulderLeft_Z,ElbowLeft_Status,ElbowLeft_X,ElbowLeft_Y,ElbowLeft_Z,WristLeft_Status,WristLeft_X,WristLeft_Y,WristLeft_Z,HandLeft_Status,HandLeft_X,HandLeft_Y,HandLeft_Z,ShoulderRight_Status,ShoulderRight_X,ShoulderRight_Y,ShoulderRight_Z,ElbowRight_Status,ElbowRight_X,ElbowRight_Y,ElbowRight_Z,WristRight_Status,WristRight_X,WristRight_Y,WristRight_Z,HandRight_Status,HandRight_X,HandRight_Y,HandRight_Z,Time
Tracked,0.3154009,0.2948093,1.398889, Tracked,0.3511516,0.1077635,1.49185, Tracked,0.1712559,0.03781372,1.540367, Tracked,0.09740938,-0.1606143,1.523461, Tracked,0.04890455,-0.3109701,1.405703, Inferred,0.04265317,-0.3430844,1.35236, Tracked,0.5171484,0.01857122,1.466244, Tracked,0.5646291,-0.1963151,1.430032, Tracked,0.4549352,-0.3146021,1.217721, Inferred,0.4183706,-0.3540311,1.150659, 00:00:01.341
Tracked,0.3147208,0.2942888,1.397719, Tracked,0.3513036,0.1076193,1.491757, Tracked,0.1712573,0.03792287,1.540411, Tracked,0.09729,-0.1606003,1.52354, Tracked,0.04897758,-0.310792,1.405466, Inferred,0.04288448,-0.3429993,1.352163, Tracked,0.5171477,0.01857336,1.466243, Tracked,0.5646682,-0.1963832,1.43025, Tracked,0.4549964,-0.3144898,1.217821, Inferred,0.4184392,-0.3538587,1.150721, 00:00:01.373
Tracked,0.313903,0.2939011,1.396807, Tracked,0.3513573,0.107432,1.491712, Tracked,0.1713232,0.03837502,1.540539, Tracked,0.09543647,-0.1494844,1.527042, Tracked,0.05435687,-0.3044434,1.412816, Inferred,0.0484349,-0.3369246,1.359663, Tracked,0.5171548,0.01864639,1.466241, Tracked,0.5646706,-0.1964489,1.430231, Tracked,0.4549794,-0.3144706,1.217766, Inferred,0.4184156,-0.3538111,1.150652, 00:00:01.409
Tracked,0.3129607,0.2933474,1.395709, Tracked,0.3515774,0.107281,1.491586, Tracked,0.1713881,0.03876122,1.540608, Tracked,0.09536514,-0.150745,1.526532, Tracked,0.05394493,-0.3053107,1.411855, Inferred,0.04815836,-0.3377399,1.358658, Tracked,0.5171014,0.01870443,1.466217, Tracked,0.5646458,-0.1965362,1.430149, Tracked,0.4549335,-0.3145058,1.217666, Inferred,0.4183628,-0.3538291,1.150547, 00:00:01.441
Tracked,0.3122074,0.2930041,1.394742, Tracked,0.351657,0.1072019,1.491518, Tracked,0.1713958,0.03891514,1.540606, Tracked,0.09531846,-0.1520552,1.526253, Tracked,0.0535116,-0.3059938,1.410801, Inferred,0.04785157,-0.3384255,1.357595, Tracked,0.5170434,0.01872261,1.466176, Tracked,0.5646998,-0.1965599,1.430261, Tracked,0.4549775,-0.3143905,1.217703, Inferred,0.4184033,-0.3536673,1.150559, 00:00:01.473
Tracked,0.3113542,0.2925093,1.393648, Tracked,0.351782,0.1070482,1.491444, Tracked,0.171418,0.03910685,1.540598, Tracked,0.09502316,-0.1534141,1.525948, Inferred,0.05348022,-0.3069041,1.409735, Inferred,0.04841287,-0.339865,1.356797, Tracked,0.5169786,0.01874715,1.466115, Tracked,0.5645905,-0.196662,1.430097, Tracked,0.4548809,-0.3144361,1.2175, Inferred,0.418311,-0.3536942,1.150344, 00:00:01.509
Tracked,0.3108298,0.2921832,1.39292, Tracked,0.3518805,0.1069325,1.491339, Tracked,0.1713928,0.03931865,1.540624, Tracked,0.09477063,-0.1542871,1.525708, Inferred,0.0537579,-0.3074255,1.408778, Inferred,0.04912462,-0.3404202,1.355824, Tracked,0.5169197,0.01878498,1.466053, Tracked,0.5643952,-0.1969543,1.429871, Tracked,0.4546811,-0.314592,1.217199, Inferred,0.4181098,-0.3538046,1.150017, 00:00:01.541
Tracked,0.310437,0.2920276,1.392401, Tracked,0.3519062,0.1067929,1.491255, Tracked,0.1714108,0.03969431,1.540643, Tracked,0.09464363,-0.1546564,1.52561, Inferred,0.05448301,-0.3077298,1.408261, Inferred,0.04977626,-0.3409497,1.355457, Tracked,0.5169098,0.01887804,1.466008, Tracked,0.5643722,-0.1969122,1.429848, Tracked,0.4546536,-0.3145475,1.217178, Inferred,0.4180807,-0.3537593,1.149997, 00:00:01.573
Tracked,0.3099729,0.2918252,1.391968, Tracked,0.3519256,0.1066902,1.4912, Tracked,0.1713917,0.04014113,1.540725, Tracked,0.09463141,-0.1546319,1.52561, Inferred,0.05484803,-0.307185,1.407375, Inferred,0.05065164,-0.3397783,1.354141, Tracked,0.5168426,0.01894104,1.465953, Tracked,0.5643216,-0.1969469,1.429752, Tracked,0.4546489,-0.3145422,1.217035, Inferred,0.4180913,-0.3537406,1.149838, 00:00:01.609
Tracked,0.3096564,0.2917533,1.391713, Tracked,0.3519428,0.1066536,1.491169, Tracked,0.17139,0.04042518,1.540819, Tracked,0.0930814,-0.1534007,1.526441, Inferred,0.0575824,-0.3068256,1.407947, Inferred,0.05336472,-0.3381733,1.353975, Tracked,0.5167359,0.01903768,1.465922, Tracked,0.5642505,-0.1971098,1.429673, Tracked,0.4546066,-0.3145417,1.216847, Inferred,0.4180586,-0.3536856,1.149613, 00:00:01.642
